net,length_um
clknet_0_clk,857.3µm
net72,503.81µm
net91,491.015µm
net56,490.295µm
net82,488.79µm
core.u_regfile.registers\[1\]\[10\],471.76µm
net67,454.78µm
net34,445.36µm
core.u_regfile.registers\[1\]\[12\],441.325µm
net160,422.74µm
net195,412.21µm
net61,411.2µm
net255,402µm
net194,386.265µm
net189,362.94µm
net142,361.43µm
net46,359.74µm
net254,357.16µm
_2609_,356.68µm
net205,356.66µm
net198,356.33µm
net168,356.05µm
net105,352.03µm
net135,349.51µm
core.u_regfile.registers\[1\]\[9\],349.48µm
net193,345.82µm
net64,344.17µm
net279,342.99µm
net89,341µm
core.u_regfile.registers\[2\]\[3\],340.02µm
net163,337.73µm
net237,331.62µm
net196,331.26µm
net52,322.26µm
net36,321.03µm
_0322_,320µm
core.u_regfile.registers\[1\]\[8\],319.82µm
net48,319.34µm
net192,318.22µm
net55,317.315µm
net164,315.64µm
core.u_regfile.registers\[1\]\[11\],312.22µm
core.u_regfile.registers\[2\]\[11\],311.78µm
net186,308.22µm
clk,305.15µm
net171,297.46µm
net57,290.76µm
net139,284.94µm
net202,283.19µm
_2356_,281.76µm
net248,281.67µm
net126,280.405µm
net53,279µm
net122,277.34µm
net129,276.19µm
net101,274.605µm
net157,273.295µm
core.u_regfile.registers\[2\]\[16\],271.55µm
net154,271.34µm
_2074_,269.46µm
net69,268.66µm
_2271_,263.45µm
core.u_regfile.registers\[1\]\[4\],261.78µm
core.u_regfile.registers\[1\]\[14\],261.48µm
net77,261.42µm
net76,260.15µm
net80,259.82µm
net201,258.92µm
net159,257.785µm
core.u_regfile.registers\[1\]\[6\],252.805µm
net188,249.66µm
net166,248.895µm
net203,248µm
core.u_regfile.registers\[1\]\[7\],247.52µm
net184,245.5µm
net54,244.38µm
net104,243.97µm
net124,243.77µm
net161,242.34µm
_3045_,241.45µm
net100,240.745µm
net63,239.79µm
_2362_,238.15µm
net88,238.01µm
net165,236.175µm
clknet_4_6_0_clk,235.92µm
net102,234.98µm
net238,233.51µm
_2553_,233.16µm
net253,232.88µm
net191,232.325µm
net183,231.41µm
core.u_regfile.registers\[2\]\[4\],227.88µm
core.u_regfile.registers\[2\]\[15\],227.54µm
net51,226.22µm
net132,225.98µm
net44,225.78µm
net150,225.38µm
net158,225.16µm
_2403_,225.05µm
net70,223.78µm
net281,223.715µm
net45,219.28µm
net95,218.02µm
_2811_,217.82µm
net103,217µm
core.u_regfile.registers\[2\]\[0\],216.96µm
net384,216.74µm
net130,216.14µm
net62,214.08µm
_2744_,211.4µm
net90,211.36µm
net47,210.72µm
net214,207.74µm
net59,207.4µm
net50,206.83µm
net127,206.19µm
_2363_,205.09µm
_0429_,204.78µm
net134,203.2µm
net58,201.585µm
net180,196.365µm
core.u_regfile.registers\[2\]\[12\],195.305µm
core.u_regfile.registers\[1\]\[0\],195.15µm
_0133_,193.55µm
core.u_regfile.registers\[1\]\[13\],193.01µm
net60,192.84µm
net175,192.01µm
net153,191.4µm
core.u_regfile.registers\[2\]\[8\],191.27µm
clknet_4_7_0_clk,190.8µm
net65,189.04µm
net222,188.08µm
net179,186.68µm
net93,184.13µm
net125,183.68µm
net231,183.56µm
net78,183.44µm
net75,183.07µm
