Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_107_629,VPWR,li1,296.7000,301.9200,1.799996
FILLER_107_617,VPWR,li1,292.1000,301.9200,1.799996
FILLER_107_613,VPWR,li1,288.1900,301.9200,1.799996
FILLER_107_601,VPWR,li1,284.7400,301.9200,1.799996
FILLER_107_589,VPWR,li1,279.2200,301.9200,1.799996
FILLER_107_587,VPWR,li1,275.7700,301.9200,1.799996
FILLER_107_581,VPWR,li1,273.2400,301.9200,1.799996
FILLER_107_573,VPWR,li1,270.9400,301.9200,1.799996
FILLER_107_561,VPWR,li1,266.3400,301.9200,1.799996
FILLER_107_557,VPWR,li1,262.4300,301.9200,1.799996
FILLER_107_545,VPWR,li1,258.9800,301.9200,1.799996
FILLER_107_533,VPWR,li1,253.4600,301.9200,1.799996
FILLER_107_531,VPWR,li1,250.0100,301.9200,1.799996
FILLER_107_523,VPWR,li1,247.9400,301.9200,1.799996
FILLER_107_503,VPWR,li1,237.1300,301.9200,1.799996
FILLER_107_497,VPWR,li1,235.5200,301.9200,1.799996
FILLER_107_485,VPWR,li1,229.3100,301.9200,1.799996
FILLER_107_477,VPWR,li1,225.4000,301.9200,1.799996
FILLER_107_455,VPWR,li1,217.5800,301.9200,1.799996
FILLER_107_446,VPWR,li1,211.1400,301.9200,1.799996
FILLER_107_433,VPWR,li1,205.6200,301.9200,1.799996
FILLER_107_421,VPWR,li1,201.9400,301.9200,1.799996
FILLER_107_417,VPWR,li1,198.0300,301.9200,1.799996
FILLER_107_405,VPWR,li1,194.5800,301.9200,1.799996
FILLER_107_393,VPWR,li1,189.0600,301.9200,1.799996
FILLER_107_389,VPWR,li1,185.1500,301.9200,1.799996
FILLER_107_377,VPWR,li1,181.7000,301.9200,1.799996
FILLER_107_365,VPWR,li1,176.1800,301.9200,1.799996
FILLER_107_361,VPWR,li1,172.2700,301.9200,1.799994
FILLER_107_349,VPWR,li1,168.8200,301.9200,1.799993
FILLER_107_337,VPWR,li1,163.3000,301.9200,1.799991
FILLER_107_333,VPWR,li1,159.3900,301.9200,1.799989
FILLER_107_321,VPWR,li1,155.9400,301.9200,1.799988
FILLER_107_309,VPWR,li1,150.4200,301.9200,1.799986
FILLER_107_305,VPWR,li1,146.5100,301.9200,1.799984
FILLER_107_293,VPWR,li1,143.0600,301.9200,1.799982
FILLER_107_281,VPWR,li1,137.5400,301.9200,1.799980
FILLER_107_277,VPWR,li1,133.6300,301.9200,1.799979
FILLER_107_265,VPWR,li1,130.1800,301.9200,1.799980
FILLER_107_253,VPWR,li1,124.6600,301.9200,1.799980
FILLER_107_249,VPWR,li1,120.7500,301.9200,1.799981
FILLER_107_237,VPWR,li1,117.3000,301.9200,1.799982
FILLER_107_225,VPWR,li1,111.7800,301.9200,1.799983
FILLER_107_221,VPWR,li1,107.8700,301.9200,1.799983
FILLER_107_209,VPWR,li1,104.4200,301.9200,1.799984
FILLER_107_197,VPWR,li1,98.9000,301.9200,1.799985
FILLER_107_193,VPWR,li1,94.9900,301.9200,1.799986
FILLER_107_181,VPWR,li1,91.5400,301.9200,1.799986
FILLER_107_169,VPWR,li1,86.0200,301.9200,1.799987
FILLER_107_165,VPWR,li1,82.1100,301.9200,1.799988
FILLER_107_153,VPWR,li1,78.6600,301.9200,1.799988
FILLER_107_141,VPWR,li1,73.1400,301.9200,1.799989
FILLER_107_137,VPWR,li1,69.2300,301.9200,1.799990
FILLER_107_125,VPWR,li1,65.7800,301.9200,1.799991
FILLER_107_113,VPWR,li1,60.2600,301.9200,1.799992
FILLER_107_109,VPWR,li1,56.3500,301.9200,1.799992
FILLER_107_97,VPWR,li1,52.9000,301.9200,1.799993
FILLER_107_85,VPWR,li1,47.3800,301.9200,1.799994
FILLER_107_81,VPWR,li1,43.4700,301.9200,1.799995
FILLER_107_69,VPWR,li1,40.0200,301.9200,1.799995
FILLER_107_57,VPWR,li1,34.5000,301.9200,1.799996
FILLER_107_53,VPWR,li1,30.5900,301.9200,1.799997
FILLER_107_41,VPWR,li1,27.1400,301.9200,1.799997
FILLER_107_29,VPWR,li1,21.6200,301.9200,1.799998
FILLER_107_27,VPWR,li1,18.1700,301.9200,1.799998
FILLER_107_15,VPWR,li1,15.1800,301.9200,1.799998
FILLER_107_3,VPWR,li1,9.6600,301.9200,1.799998
FILLER_106_633,VPWR,li1,297.6200,301.9200,1.799996
FILLER_106_621,VPWR,li1,293.9400,301.9200,1.799996
FILLER_106_609,VPWR,li1,288.4200,301.9200,1.799996
FILLER_106_597,VPWR,li1,282.9000,301.9200,1.799996
FILLER_106_569,VPWR,li1,267.4900,301.9200,1.799996
FILLER_106_557,VPWR,li1,264.5000,301.9200,1.799996
FILLER_106_545,VPWR,li1,258.9800,301.9200,1.799996
FILLER_106_533,VPWR,li1,252.0800,301.9200,1.799996
FILLER_106_530,VPWR,li1,249.7800,301.9200,1.799996
FILLER_106_518,VPWR,li1,246.5600,301.9200,1.799996
FILLER_106_506,VPWR,li1,238.9700,301.9200,1.799996
FILLER_106_489,VPWR,li1,231.3800,301.9200,1.799996
FILLER_106_477,VPWR,li1,227.7000,301.9200,1.799996
FILLER_106_470,VPWR,li1,223.1000,301.9200,1.799996
FILLER_106_458,VPWR,li1,218.9600,301.9200,1.799996
FILLER_106_446,VPWR,li1,213.4400,301.9200,1.799996
FILLER_106_433,VPWR,li1,206.0800,301.9200,1.799996
FILLER_106_421,VPWR,li1,201.9400,301.9200,1.799996
FILLER_106_419,VPWR,li1,198.4900,301.9200,1.799996
FILLER_106_413,VPWR,li1,196.8800,301.9200,1.799996
FILLER_106_401,VPWR,li1,192.7400,301.9200,1.799996
FILLER_106_389,VPWR,li1,187.2200,301.9200,1.799996
FILLER_106_377,VPWR,li1,181.7000,301.9200,1.799996
FILLER_106_365,VPWR,li1,176.1800,301.9200,1.799996
FILLER_106_363,VPWR,li1,172.7300,301.9200,1.799994
FILLER_106_357,VPWR,li1,171.1200,301.9200,1.799994
FILLER_106_345,VPWR,li1,166.9800,301.9200,1.799992
FILLER_106_333,VPWR,li1,161.4600,301.9200,1.799990
FILLER_106_321,VPWR,li1,155.9400,301.9200,1.799988
FILLER_106_309,VPWR,li1,150.4200,301.9200,1.799986
FILLER_106_302,VPWR,li1,145.8200,301.9200,1.799984
FILLER_106_290,VPWR,li1,141.6800,301.9200,1.799982
FILLER_106_268,VPWR,li1,129.2600,301.9200,1.799980
FILLER_106_261,VPWR,li1,126.0400,301.9200,1.799980
FILLER_106_253,VPWR,li1,123.7400,301.9200,1.799980
FILLER_106_251,VPWR,li1,121.2100,301.9200,1.799981
FILLER_106_245,VPWR,li1,119.6000,301.9200,1.799981
FILLER_106_233,VPWR,li1,115.4600,301.9200,1.799982
FILLER_106_221,VPWR,li1,109.9400,301.9200,1.799983
FILLER_106_209,VPWR,li1,104.4200,301.9200,1.799984
FILLER_106_197,VPWR,li1,98.9000,301.9200,1.799985
FILLER_106_195,VPWR,li1,95.4500,301.9200,1.799986
FILLER_106_189,VPWR,li1,93.8400,301.9200,1.799986
FILLER_106_177,VPWR,li1,89.7000,301.9200,1.799986
FILLER_106_165,VPWR,li1,84.1800,301.9200,1.799987
FILLER_106_153,VPWR,li1,78.6600,301.9200,1.799988
FILLER_106_141,VPWR,li1,73.1400,301.9200,1.799989
FILLER_106_139,VPWR,li1,69.6900,301.9200,1.799990
FILLER_106_133,VPWR,li1,68.0800,301.9200,1.799990
FILLER_106_121,VPWR,li1,63.9400,301.9200,1.799991
FILLER_106_109,VPWR,li1,58.4200,301.9200,1.799992
FILLER_106_97,VPWR,li1,52.9000,301.9200,1.799993
FILLER_106_85,VPWR,li1,47.3800,301.9200,1.799994
FILLER_106_83,VPWR,li1,43.9300,301.9200,1.799995
FILLER_106_77,VPWR,li1,42.3200,301.9200,1.799995
FILLER_106_65,VPWR,li1,38.1800,301.9200,1.799995
FILLER_106_53,VPWR,li1,32.6600,301.9200,1.799996
FILLER_106_41,VPWR,li1,27.1400,301.9200,1.799997
FILLER_106_29,VPWR,li1,21.6200,301.9200,1.799998
FILLER_106_27,VPWR,li1,18.1700,301.9200,1.799998
FILLER_106_15,VPWR,li1,15.1800,301.9200,1.799998
FILLER_106_3,VPWR,li1,9.6600,301.9200,1.799998
FILLER_105_629,VPWR,li1,296.7000,296.4800,1.799616
FILLER_105_617,VPWR,li1,292.1000,296.4800,1.799616
FILLER_105_614,VPWR,li1,288.4200,296.4800,1.799616
FILLER_105_602,VPWR,li1,285.2000,296.4800,1.799616
FILLER_105_552,VPWR,li1,261.2800,296.4800,1.799635
FILLER_105_524,VPWR,li1,248.4000,296.4800,1.799665
FILLER_105_512,VPWR,li1,243.8000,296.4800,1.799678
FILLER_105_501,VPWR,li1,236.6700,296.4800,1.799701
FILLER_105_493,VPWR,li1,232.5300,296.4800,1.799711
FILLER_105_485,VPWR,li1,230.4600,296.4800,1.799720
FILLER_105_467,VPWR,li1,221.2600,296.4800,1.799744
FILLER_105_457,VPWR,li1,216.2000,296.4800,1.799759
FILLER_105_449,VPWR,li1,213.9000,296.4800,1.799767
FILLER_105_445,VPWR,li1,210.9100,296.4800,1.799778
FILLER_105_431,VPWR,li1,204.0100,296.4800,1.799804
FILLER_105_425,VPWR,li1,202.4000,296.4800,1.799814
FILLER_105_413,VPWR,li1,198.2600,296.4800,1.799832
FILLER_105_407,VPWR,li1,192.9700,296.4800,1.799849
FILLER_105_401,VPWR,li1,190.2100,296.4800,1.799860
FILLER_105_393,VPWR,li1,188.1400,296.4800,1.799873
FILLER_105_380,VPWR,li1,183.0800,296.4800,1.799894
FILLER_105_368,VPWR,li1,177.5600,296.4800,1.799912
FILLER_105_356,VPWR,li1,172.0400,296.4800,1.799908
